index,SMILES,PubChem_CID,sel_method
120108,CCC1=C(C(=CN(C1=O)C2=CC(=C(C=C2Br)F)I)C=O)CC#N,156703529,maxmin
130108,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C5=C(C=C(C(=C5)C)F)N=C4C3=C2)C=O)O,167138543,maxmin
134434,C1=CC(=C(C=C1S(=O)NC2=C(N=CS2)C=O)F)NC(=O)CN=C(N)N,169936858,maxmin
12140,CC1=CC(=NC(=O)C1CNC(=O)C2=C3C=NN(C3=NC(=C2)C=O)C(C)C)C,138404014,maxmin
105654,C/C=C(\C(=N/C(=C)NC1=CC(=CC(=C1)C)C)\N2C=C(C(=N2)C)C=O)/F,144189090,maxmin
16844,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=CS5)C=O,71524888,maxmin
123505,CC#CC1=CC(=CC2=C1CC(C2)NC3=NC=C(C(=N3)CN(C)C4(CC(C4)(F)F)C)C=O)Cl,162384951,maxmin
161436,CC[C@@H]1CN2CCC3=C4C(=NC3=C2C5=C1C(=C(O5)O)C=O)C=CC=C4OC,135506146,maxmin
170721,CCOC(C)C1=CC(=C(S1)SCC)C=O,129795043,maxmin
95245,CC1=NC(=NC=C1C2=CN=C(N3C2=C(N=C3)C=O)NCC4=C(C=CC5=C4CCO5)F)C,139356569,maxmin
110713,C1=C(SC(=C1)C2=NOC(=N2)C(F)(F)F)CN3C(=NC=N3)C=O,146304686,maxmin
111577,C/C(=C\C=C/C(=C)N1C(=C(C(=N1)C(F)(F)F)C=O)Cl)/C(=O)N(C)C2=CC3=C(C=C2)OCO3,146549339,maxmin
288898,COC1=C(C=C(C=C1)C(CC(=O)OC)C#CC2=CC=C(O2)C=O)OC3CCCC3,19349966,maxmin
59815,C1C=CC(=C=C1)NC(=O)C2=CC(=CC=C2)NC3=NC(=C(C=C3C=O)F)NCCN,87519180,maxmin
48628,CC(=O)NC1=C2C(=CN(C2=NC=N1)[C@H]3[C@](C(C(O3)CO)O)(C)F)C=O,58732376,maxmin
76403,C1=CC2=CC3=CC=C(N3)C=C4C(=CC(=CC5=CC=C(N5)C=C1N2)N4)C=O,90848871,maxmin
128693,CC1=C(N(C(=C1C(=O)C(=O)NC2(CC(C2)(F)F)C(=O)NC)C)C)C=O,166878847,maxmin
134565,CC1(CCN(CC1)C2=NC(=NC=C2F)NN)OC3=CC(=CC(=C3)N(C)C)NC4=CN=C(C=C4)C=O,169974945,maxmin
138739,CC1=C2C=C(C=CN2C(=C1C3=C(C=CC(=C3F)F)/C(=C/NC)/C(=N)F)C=O)C(=C4CC4)OC,172383734,maxmin
157810,C[C@H](C1=CC(=CC2=C1C=C(NC2=O)C3=CN(N=C3C=O)C)F)N[S@](=O)C(C)(C)C,178071750,maxmin
183746,CCCC1=C2C(=CC3=C1OC(=CC3=O)C(=O)O)C(=CC(=N2)C(=O)O)C=O,14091445,maxmin
243216,C=C(/C=C\C(=C)S(N1C=C(C=C1Br)C=O)(O)O)C(F)(F)F,162574765,maxmin
285499,CC1=CC(=O)OC2=C(C3=C(C=C12)C(=C(O3)C=O)C)C,18612303,maxmin
286315,C1CN(CCC1CNC(=O)C2=CN=CC=C2)CC3COC4=C(O3)C5=C(C=C4)NC(=C5)C=O,18689971,maxmin
121068,CCC1=C(N=C(N1C[C@H](C)NCC2=NC(=NC=C2)C(F)(F)F)C=O)C3=NC(=NC=C3C)Cl,156905238,maxmin
124667,C[C@@]1(C([C@@](CCN1C(=O)O)(CC2=C(C(=CC(=N2)Cl)C=O)F)C(=O)O)C(C)(C)C)C(C)(C)C,163303940,maxmin
262822,CC1=CC=C(C=C1)S(=O)(=O)CNC2=C(C3=C(O2)NC(=O)NC3=O)C4=C(SC=C4)C=O,129905983,maxmin
102411,CC1=NN=C(O1)C2=CN(C(=O)C3=C2N(C(=C3O)C=O)CCNC)CC4=CC(=C(C=C4)F)Cl,143043964,maxmin
271653,C1=COC(=C1)CS(=O)CC(=O)NC/C=C\COC2=NC=CC(=C2)C=O,10666353,maxmin
111161,CC1=CC(=CC(=C1)F)C2=CN=C(C(=C2N3CC[C@H]4[C@H](C3)OCCN4C(=O)O)C=O)N,146469226,maxmin
273438,CCC1=NN(C(=C1C=O)OC2=CC=C(C=C2)OC3=CC=C(C=C3)OCC=C(Cl)Cl)C,11465012,maxmin
289071,CC(C)(C)OC(=O)N(CC1=CC(=CC=C1)NC(=O)OCC=C)C2=CC(=CC(=N2)C=O)N3CCOCC3,19369732,maxmin
42927,C1CCN(C1)C(=O)/N=C\2/N(C=C(S2)C=O)C3=CC4=C(C=C3)OC(O4)(F)F,24852299,maxmin
54603,C1CC(C1)(C2=CC(=C(C=C2)C3=C(C=C4C(=C3)C(=CN4)C=O)Cl)F)O,86698602,maxmin
89582,CCCCCC(=O)NC1=C(C(=CC(=C1)C(F)(F)F)NC(=O)C2=NC=NC(=C2)C=O)OC3CCNC3,131994769,maxmin
