id,bde_gxtb_kcal
213764,106.248
79712,79.737
119535,108.459
121865,108.553
59011,107.615
111258,104.364
124668,106.107
191636,107.436
23346,106.25
83705,104.084
123423,106.732
87755,
84905,98.883
34285,110.205
3317,105.491
109842,106.927
146094,108.734
33482,127.372
34327,111.844
5819,103.255
120151,106.95
206963,112.25
32136,114.859
35218,104.87
108249,102.671
24918,109.352
120140,100.909
25437,
203906,110.77
12607,104.797
9597,106.159
209562,107.055
107859,105.891
48805,111.342
121867,105.499
211399,103.127
111178,106.345
15227,104.09
15452,104.734
27789,105.746
35734,101.028
18565,120.659
48977,109.743
29287,102.662
217550,107.926
214580,
151292,106.343
83736,98.696
26260,114.046
112581,108.757
111905,104.873
112188,105.653
216395,107.813
16836,105.828
101904,107.658
118504,106.616
118318,102.466
115244,102.513
205049,113.359
214599,109.603
185553,106.454
117563,108.091
195728,113.614
115288,110.071
211286,103.436
219056,95.779
215482,71.745
205174,107.424
25778,60.124
96108,115.228
175570,106.115
121247,
94603,98.414
201098,106.025
18986,116.22
4791,106.809
5401,105.504
26419,111.72
121154,98.945
67510,98.967
171005,112.164
59240,101.059
210361,104.873
212054,106.606
215349,110.003
117217,127.165
93298,109.527
214852,107.229
26931,83.04
8767,104.537
51962,109.3
132891,106.993
182249,109.849
117754,106.814
24059,
22773,91.845
211263,107.203
203283,106.263
112401,75.075
114919,110.679
273,109.837
23078,111.013
50177,123.215
104318,98.262
210246,102.873
121866,105.969
134368,105.155
14988,106.42
214488,106.579
117056,115.496
176551,103.589
174,112.553
874,106.376
201262,105.748
49852,108.83
22111,106.605
8314,105.475
116825,113.433
100424,105.488
146536,104.334
146065,104.952
25768,104.666
59790,107.154
25088,118.443
16547,112.882
40423,107.24
57853,101.844
207328,113.736
15054,106.037
35871,105.186
24592,112.45
25600,112.787
209255,109.672
30141,105.785
797,105.402
23120,108.595
10788,108.428
89335,99.51
151372,107.37
184869,102.255
14943,135.278
202335,105.288
74394,107.158
121446,101.41
218365,103.707
75378,108.382
70632,105.202
183817,104.614
198573,110.661
79198,105.325
125221,94.601
25132,105.77
11366,105.753
20799,104.271
87136,110.465
216645,116.253
19467,106.603
88678,104.653
111348,105.257
131429,108.24
14128,107.195
135021,108.956
26249,108.306
334,107.667
25905,116.404
11432,108.193
23834,112.126
7633,108.554
25576,106.757
114049,104.239
15066,96.403
12094,111.297
17183,108.131
95269,108.946
26621,100.796
114289,107.851
118782,106.186
206816,104.068
214814,111.92
50314,114.464
212219,108.948
100483,104.791
23005,106.719
23735,108.869
61531,109.299
27041,106.489
111479,109.386
117088,98.455
44109,108.078
106200,105.347
22813,100.438
201987,106.376
149137,90.99
100631,103.104
110257,106.788
171653,105.138
35735,104.117
18879,106.864
216454,106.368
27123,98.863
151226,105.579
23572,100.771
26135,108.784
124734,104.819
14967,109.81
108793,104.54
10699,102.508
108851,101.386
26805,111.099
32550,109.818
217355,102.399
182547,105.14
117218,113.548
15295,102.277
96915,104.951
97707,102.502
111397,105.445
24295,106.435
81405,86.332
209655,105.411
214917,103.573
49319,102.278
26458,103.926
62002,103.677
251,108.893
16922,107.973
72723,109.762
24597,130.963
8670,111.798
12637,110.536
25318,109.215
25448,106.454
208698,106.725
218457,102.496
208979,91.54
151631,95.196
201444,102.965
202754,105.706
31528,110.077
12025,105.973
154810,99.564
78056,106.521
113131,112.412
15148,105.394
22958,105.14
117909,120.063
53379,108.94
26273,114.968
110051,106.24
109611,108.457
57,105.806
31262,105.004
15366,109.002
12585,106.523
195731,107.095
97746,100.485
121748,105.188
25690,112.834
145742,105.706
210747,102.142
46120,101.793
15308,105.667
182201,103.241
220095,106.846
183075,101.406
211997,114.776
20819,106.898
123930,99.505
115663,108.565
