donor_id,acceptor_id,donor_smiles,acceptor_smiles
LKSDMUFQRPSOCZ-UHFFFAOYSA-N,NHNWAJHYQLFVNL-UHFFFAOYSA-N,Nc1cc(F)c(F)cc1-c1cc(C=O)ccn1,Cc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1C=O
YHQJPXRYRCCAEK-UHFFFAOYSA-N,WSXIBCRETBRQRW-UHFFFAOYSA-N,O=Cc1ccc(-c2ccc(F)cc2)c([N+](=O)[O-])c1,N#Cc1cc2cc(C=O)ccc2o1
AQIRTRONRLCHRX-UHFFFAOYSA-N,MHTCBLZAFPXIDX-UHFFFAOYSA-N,COCCn1c(Cl)c(C=O)c2cccc(F)c21,CCCCCn1nnc(C=O)c1-c1ccc(C(F)(F)F)cc1
PBUKDCFXXHVVDP-YOWRRBNZSA-N,QDVZWHGBRKDZAJ-UHFFFAOYSA-N,CC1(C)[C@@H](Br)CC[C@@]2(C)[C@H]1CC[C@@]1(C)Oc3cc(C=O)c(O)cc3C[C@@H]21,O=Cc1c(I)cc(C(F)F)nc1F
RNTGKVWRJOXFMR-UHFFFAOYSA-N,NLOGCEUABHNOGR-UHFFFAOYSA-N,O=Cc1cc(F)ccc1N1CCN(c2ccccn2)CC1,N#Cc1ccc(C=O)c(OS(=O)(=O)CF)c1
JBJBZOUBGMLWEA-UHFFFAOYSA-N,RNDLXPAVFHJQQP-UHFFFAOYSA-N,O=Cc1ccccc1OCC(=O)NC(Cc1cccc(F)c1)c1cccc(F)c1,N#Cc1ncc(I)c(C(F)F)c1C=O
JLNYVZJIXMULBB-UHFFFAOYSA-N,YMZIYIPABDRYGK-UHFFFAOYSA-N,O=Cc1ccc(N2CCC(C(=O)N(Cc3ccc([N+](=O)[O-])cc3)C3CC3)CC2)cc1,O=Cc1cn(CC(=O)Nc2ccc(F)cc2)cn1
SUSQSLJQDDGHFT-UHFFFAOYSA-N,YZHASECIFLRNPV-SSAZZLEASA-N,COC(=O)c1ccc(-c2nn(C(=O)c3c(C)cccc3Cl)c3cc(C=O)ccc23)c(F)c1,Cc1cc(Oc2c(C=O)c(C(F)(F)F)nn2C)cc(C)c1C1C(=O)[C@@H]2[C@H](C1=O)[C@H]1CC[C@@H]2O1
XXMDTWIPAQQDDV-UHFFFAOYSA-N,HZPRHASLIUMXLG-UHFFFAOYSA-N,Cc1oc(-c2ccccc2)nc1CCC(=O)c1ccc(C=O)nc1,O=Cc1ccccc1-c1cccc(-n2cnc3cc(-c4ccoc4)cnc32)c1
YNFCZWUXOROWPC-UHFFFAOYSA-N,QRWKLUVIBVRXQB-UHFFFAOYSA-N,O=Cc1cc(F)ccc1SCC1CCCO1,CC(C)(C)OC(=O)n1c(Br)c(C=O)c2ccccc21
