ald_id,smiles,canon
SBZFOKVBEUWGFV-UHFFFAOYSA-N,O=Cc1ccc(OCc2ccc(OC3CCCC3)c(C(F)(F)F)c2)cc1F,O=Cc1ccc(OCc2ccc(OC3CCCC3)c(C(F)(F)F)c2)cc1F
FGFAVRPKDPQNDQ-UHFFFAOYSA-N,CCOC(=O)CCCOc1ccc(C=O)cc1F,CCOC(=O)CCCOc1ccc(C=O)cc1F
YUQNLLQOFBHLEM-UHFFFAOYSA-N,O=Cc1cc(F)cnc1C1CC1,O=Cc1cc(F)cnc1C1CC1
QOSVASMRQVWIBY-UHFFFAOYSA-N,O=Cc1cc(Br)c([N+](=O)[O-])cc1F,O=Cc1cc(Br)c([N+](=O)[O-])cc1F
DYKVVENJUKAVIP-UHFFFAOYSA-N,Cn1c(C=O)ccc1-c1cccc(OC(F)(F)F)c1,Cn1c(C=O)ccc1-c1cccc(OC(F)(F)F)c1
HPQBFVOTEQNDNO-UHFFFAOYSA-N,Nc1nc(CF)c(C=O)o1,Nc1nc(CF)c(C=O)o1
QWBBIUZKPSPCGI-UHFFFAOYSA-N,O=Cc1cc(Cl)cc(-c2cn(Cc3ccc(-c4nnc(C(F)F)o4)cc3F)nn2)c1,O=Cc1cc(Cl)cc(-c2cn(Cc3ccc(-c4nnc(C(F)F)o4)cc3F)nn2)c1
NTEGCABTMKSSKM-UHFFFAOYSA-N,O=Cc1ccc(OCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)cc1,O=Cc1ccc(OCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)cc1
PYJGGZVEXSQYRU-UHFFFAOYSA-N,O=Cc1cccn1CCc1ccc(F)cc1,O=Cc1cccn1CCc1ccc(F)cc1
KAIBNDXVCRJMSC-UHFFFAOYSA-N,COc1ccc(-c2[nH]c3ccc(F)cc3c2C=O)cc1OC,COc1ccc(-c2[nH]c3ccc(F)cc3c2C=O)cc1OC
JGPGZNVODICOGN-UHFFFAOYSA-N,Cc1ccc(Oc2ccc([N+](=O)[O-])cc2C=O)cc1,Cc1ccc(Oc2ccc([N+](=O)[O-])cc2C=O)cc1
QELBQGQAKVQWTH-UHFFFAOYSA-N,COc1cc(C=O)c(CN)nc1OC(F)(F)F,COc1cc(C=O)c(CN)nc1OC(F)(F)F
XFIVCYVDZPIDTJ-UHFFFAOYSA-N,O=Cc1csc(C(O)C2=CCCCC2=O)c1,O=Cc1csc(C(O)C2=CCCCC2=O)c1
PIRZCSNEBZBWFQ-BBHUYCHWSA-N,C=CC[C@]1(Oc2ccc(F)cc2C=O)CCCN(C(=O)C2=CCC(OC)NC2OC)C1,C=CC[C@]1(Oc2ccc(F)cc2C=O)CCCN(C(=O)C2=CCC(OC)NC2OC)C1
OCCUMQMPMXUDAM-UHFFFAOYSA-N,CC(C)(C)[Si](C)(C)OCc1cc(F)c(C=O)c2cc(OC(N)=O)ncc12,CC(C)(C)[Si](C)(C)OCc1cc(F)c(C=O)c2cc(OC(N)=O)ncc12
SROOMKIJZQRSIE-UHFFFAOYSA-N,N#Cc1cc(OC(F)(F)F)c(N)nc1C=O,N#Cc1cc(OC(F)(F)F)c(N)nc1C=O
QCZREWHANZICFM-UHFFFAOYSA-N,Cc1cc(I)c(F)cc1C=O,Cc1cc(I)c(F)cc1C=O
XSPDMODYDHOMJZ-UHFFFAOYSA-N,COc1sc(-c2ccccc2)nc1C=O,COc1sc(-c2ccccc2)nc1C=O
NFSVGJLKFKEOBP-UHFFFAOYSA-N,O=Cc1cn2c3c1ccc1c4ccccc4n(c13)CC(OCCN1CCCCC1)C2,O=Cc1cn2c3c1ccc1c4ccccc4n(c13)CC(OCCN1CCCCC1)C2
JSCWARWMGROIRT-UHFFFAOYSA-N,O=Cc1cn(-c2ccccc2Br)nc1C(F)(F)F,O=Cc1cn(-c2ccccc2Br)nc1C(F)(F)F
OWHDEDLXYSQEPY-UHFFFAOYSA-N,N#CC(NCc1ccc(C=O)cc1)c1ccccc1,N#CC(NCc1ccc(C=O)cc1)c1ccccc1
FMJIKKXSIVRJGO-UHFFFAOYSA-N,CC(C)=CCC1C(C)=CCC2(C)C(=O)c3c(c(C=O)c(O)c(O)c3C(C)C)C(=O)C12,CC(C)=CCC1C(C)=CCC2(C)C(=O)c3c(c(C=O)c(O)c(O)c3C(C)C)C(=O)C12
WICNNCCWGAQOQN-UHFFFAOYSA-N,CC(Nc1ccc(-c2cccc(C=O)c2)cn1)c1ccccc1,CC(Nc1ccc(-c2cccc(C=O)c2)cn1)c1ccccc1
FIEMTYCYDBJHMQ-UHFFFAOYSA-N,CCc1ccc(Cc2nc3c(F)cccn3c2C=O)cc1,CCc1ccc(Cc2nc3c(F)cccn3c2C=O)cc1
YZFBSRWYFQIBFN-UHFFFAOYSA-N,O=Cc1cc(F)ncc1-c1ccc(Cl)cc1Cl,O=Cc1cc(F)ncc1-c1ccc(Cl)cc1Cl
YVUBNSSWSOVSEN-UHFFFAOYSA-N,O=Cc1cc([N+](=O)[O-])ccc1Sc1ccc(Cl)cc1Cl,O=Cc1cc([N+](=O)[O-])ccc1Sc1ccc(Cl)cc1Cl
